Date,Price,Open,High,Low,Vol.,Change %
"Oct 05, 2017",29412,29469,29469,29361,0.06K,0.28%
"Oct 06, 2017",29510,29325,29540,29274,11.30K,0.33%
"Oct 09, 2017",29670,29540,29718,29540,6.17K,0.54%
"Oct 10, 2017",29768,29700,29798,29700,6.98K,0.33%
"Oct 11, 2017",29659,29717,29770,29638,5.43K,-0.37%
"Oct 12, 2017",29756,29725,29840,29692,6.88K,0.33%
"Oct 13, 2017",29800,29750,29817,29660,7.31K,0.15%
"Oct 16, 2017",29808,29809,29896,29790,5.77K,0.03%
"Oct 17, 2017",29565,29751,29751,29550,8.27K,-0.82%
"Oct 18, 2017",29536,29640,29643,29504,5.08K,-0.10%
"Oct 19, 2017",29654,29600,29669,29593,1.70K,0.40%
"Oct 20, 2017",29541,29600,29622,29524,3.22K,-0.38%
"Oct 23, 2017",29499,29502,29550,29364,7.21K,-0.14%
"Oct 24, 2017",29498,29515,29537,29444,5.50K,0.00%
"Oct 25, 2017",29362,29475,29475,29275,8.11K,-0.46%
"Oct 26, 2017",29236,29375,29443,29211,8.37K,-0.43%
"Oct 27, 2017",29272,29223,29299,29169,6.53K,0.12%
"Oct 30, 2017",29349,29263,29369,29204,4.82K,0.26%
"Oct 31, 2017",29040,29300,29337,28958,5.80K,-1.05%
"Nov 01, 2017",29120,29048,29260,28991,2.16K,0.28%
"Nov 02, 2017",29242,29301,29318,29168,0.34K,0.42%
"Nov 03, 2017",29191,29230,29456,29002,0.05K,-0.17%
"Nov 06, 2017",29363,29130,29388,29130,7.66K,0.59%
"Nov 07, 2017",29457,29349,29490,29333,8.21K,0.32%
"Nov 08, 2017",29562,29451,29600,29438,7.90K,0.36%
"Nov 09, 2017",29670,29530,29689,29466,9.36K,0.37%
"Nov 10, 2017",29508,29640,29700,29468,9.68K,-0.55%
"Nov 13, 2017",29619,29504,29636,29473,6.19K,0.38%
"Nov 14, 2017",29620,29550,29660,29411,10.22K,0.00%
"Nov 15, 2017",29528,29600,29740,29512,9.84K,-0.31%
"Nov 16, 2017",29491,29544,29555,29452,7.79K,-0.13%
"Nov 17, 2017",29658,29462,29689,29361,9.90K,0.57%
"Nov 20, 2017",29339,29700,29729,29268,10.65K,-1.08%
"Nov 21, 2017",29334,29410,29425,29277,7.66K,-0.02%
"Nov 22, 2017",29504,29341,29525,29280,7.80K,0.58%
"Nov 23, 2017",29420,29475,29510,29393,5.78K,-0.28%
"Nov 24, 2017",29375,29475,29500,29357,5.80K,-0.15%
"Nov 27, 2017",29460,29450,29510,29402,6.55K,0.29%
"Nov 28, 2017",29381,29450,29456,29359,5.80K,-0.27%
"Nov 29, 2017",29215,29430,29441,29188,5.89K,-0.56%
"Nov 30, 2017",28992,29287,29287,28927,6.54K,-0.76%
"Dec 01, 2017",29217,29045,29344,29038,2.16K,0.78%
"Dec 04, 2017",29059,29021,29200,28970,0.09K,-0.54%
"Dec 05, 2017",28893,29095,29170,28865,0.05K,-0.57%
"Dec 06, 2017",28972,28950,29039,28922,6.38K,0.27%
"Dec 07, 2017",28670,28932,28932,28653,7.38K,-1.04%
"Dec 08, 2017",28588,28650,28650,28500,8.42K,-0.29%
"Dec 11, 2017",28429,28550,28573,28412,5.92K,-0.56%
"Dec 12, 2017",28318,28432,28475,28271,7.58K,-0.39%
"Dec 13, 2017",28377,28350,28445,28320,4.66K,0.21%
"Dec 14, 2017",28500,28434,28589,28421,6.63K,0.43%
"Dec 15, 2017",28441,28474,28559,28395,5.54K,-0.21%
"Dec 18, 2017",28663,28492,28683,28470,6.17K,0.78%
"Dec 19, 2017",28555,28656,28680,28535,5.95K,-0.38%
"Dec 20, 2017",28617,28618,28658,28557,6.07K,0.22%
"Dec 21, 2017",28596,28645,28665,28542,5.63K,-0.07%
"Dec 22, 2017",28757,28560,28790,28560,6.08K,0.56%
"Dec 26, 2017",28924,28796,28933,28778,4.33K,0.58%
"Dec 27, 2017",29092,28890,29110,28888,5.16K,0.58%
"Dec 28, 2017",29171,29150,29220,29099,5.06K,0.27%
"Dec 29, 2017",29372,29202,29400,29134,6.93K,0.69%
"Jan 01, 2018",29324,29332,29385,29275,1.58K,-0.16%
"Jan 02, 2018",29392,29332,29463,29332,1.70K,0.23%
"Jan 03, 2018",29481,29385,29492,29385,0.19K,0.30%
"Jan 04, 2018",29472,29365,29475,29276,0.20K,-0.03%
"Jan 05, 2018",29465,29500,29550,29440,0.19K,-0.02%
"Jan 08, 2018",29270,29235,29290,29176,5.90K,-0.66%
"Jan 09, 2018",29173,29265,29278,29153,5.42K,-0.33%
"Jan 10, 2018",29343,29155,29444,29123,10.83K,0.58%
"Jan 11, 2018",29404,29338,29420,29315,5.81K,0.21%
"Jan 12, 2018",29553,29425,29590,29425,9.23K,0.51%
"Jan 15, 2018",29763,29590,29785,29590,6.00K,0.71%
"Jan 16, 2018",29830,29780,29860,29754,8.69K,0.23%
"Jan 17, 2018",29761,29876,29884,29705,6.83K,-0.23%
"Jan 18, 2018",29644,29702,29702,29501,9.53K,-0.39%
"Jan 19, 2018",29743,29615,29775,29600,5.95K,0.33%
"Jan 22, 2018",29806,29701,29825,29701,5.52K,0.21%
"Jan 23, 2018",29876,29836,29924,29752,7.02K,0.23%
"Jan 24, 2018",30244,29907,30290,29879,11.08K,1.23%
"Jan 25, 2018",30367,30310,30476,30185,9.88K,0.41%
"Jan 29, 2018",30074,30285,30285,30004,8.63K,-0.96%
"Jan 30, 2018",30052,30000,30197,29960,6.81K,-0.07%
"Jan 31, 2018",30064,30085,30172,29976,5.48K,0.04%
"Feb 01, 2018",30512,30125,30550,30050,1.81K,1.49%
"Feb 02, 2018",30399,30780,30817,30200,0.66K,-0.37%
"Feb 05, 2018",30286,30385,30498,30008,0.19K,-0.37%
"Feb 06, 2018",30182,30320,30650,30160,12.07K,-0.34%
"Feb 07, 2018",29976,30219,30259,29950,8.73K,-0.68%
"Feb 08, 2018",30103,29905,30147,29783,11.10K,0.42%
"Feb 09, 2018",29999,30060,30110,29889,9.20K,-0.35%
"Feb 12, 2018",30133,30102,30175,30017,6.40K,0.45%
"Feb 13, 2018",30195,30170,30221,30091,3.53K,0.21%
"Feb 14, 2018",30605,30220,30693,30066,12.87K,1.36%
"Feb 15, 2018",30549,30612,30644,30501,7.63K,-0.18%
"Feb 16, 2018",30785,30600,30811,30600,8.67K,0.77%
"Feb 19, 2018",30715,30717,30777,30678,4.03K,-0.23%
"Feb 20, 2018",30524,30668,30737,30505,9.25K,-0.62%
"Feb 21, 2018",30459,30500,30516,30371,7.08K,-0.21%
"Feb 22, 2018",30564,30450,30580,30380,6.53K,0.34%
"Feb 23, 2018",30492,30497,30508,30426,5.14K,-0.24%
"Feb 26, 2018",30518,30520,30620,30492,5.84K,0.09%
"Feb 27, 2018",30306,30518,30597,30270,7.86K,-0.69%
"Feb 28, 2018",30423,30319,30475,30277,5.12K,0.39%
"Mar 01, 2018",30181,30307,30372,30111,1.47K,-0.80%
"Mar 02, 2018",30473,30445,30575,30400,0.15K,0.97%
"Mar 05, 2018",30429,30400,30535,30310,0.18K,-0.14%
"Mar 06, 2018",30568,30400,30669,30365,10.81K,0.46%
"Mar 07, 2018",30461,30620,30639,30404,10.10K,-0.35%
"Mar 08, 2018",30436,30491,30533,30390,7.75K,-0.08%
"Mar 09, 2018",30408,30413,30474,30290,10.96K,-0.09%
